day,a,a_score,b,b_score,gap,verdict,reason
fri,New Jackson,5.38,O'Flynn,5.28,0.1,New Jackson,too close to call — Irish tiebreak
fri,Friendly Fires,6.58,Dry Cleaning,6.47,0.11,Friendly Fires,effectively a coin flip
fri,O'Flynn,5.28,Jamz Supernova,5.12,0.16,O'Flynn,effectively a coin flip
fri,Anish Kumar,4.82,Lullahush,4.61,0.21,Lullahush,too close to call — Irish tiebreak
fri,New Jackson,5.38,Jamz Supernova,5.12,0.26,New Jackson,too close to call — Irish tiebreak
fri,Jamz Supernova,5.12,Anish Kumar,4.82,0.3,Jamz Supernova,clear on the scores
fri,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,Job Jobse,5.93,0.4,Sunil Sharpe x Kev Freeney Presents Spineless,clear on the scores
fri,O'Flynn,5.28,Anish Kumar,4.82,0.46,O'Flynn,clear on the scores
fri,Lullahush,4.61,Sam Alfred,4.11,0.5,Lullahush,clear on the scores
fri,Jamz Supernova,5.12,Lullahush,4.61,0.51,Jamz Supernova,clear on the scores
fri,Job Jobse,5.93,New Jackson,5.38,0.55,Job Jobse,clear on the scores
fri,New Jackson,5.38,Anish Kumar,4.82,0.56,New Jackson,clear on the scores
fri,Trinity Orchestra,4.77,Jacob Alon,4.16,0.61,Trinity Orchestra,clear on the scores
fri,Job Jobse,5.93,O'Flynn,5.28,0.65,Job Jobse,clear on the scores
fri,O'Flynn,5.28,Lullahush,4.61,0.67,O'Flynn,clear on the scores
fri,Anish Kumar,4.82,Sam Alfred,4.11,0.71,Anish Kumar,clear on the scores
fri,Friendly Fires,6.58,Gurriers,5.85,0.73,Friendly Fires,clear on the scores
fri,New Jackson,5.38,Lullahush,4.61,0.77,New Jackson,clear on the scores
fri,Job Jobse,5.93,Jamz Supernova,5.12,0.81,Job Jobse,clear on the scores
fri,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,New Jackson,5.38,0.95,Sunil Sharpe x Kev Freeney Presents Spineless,clear on the scores
fri,Jamz Supernova,5.12,Sam Alfred,4.11,1.01,Jamz Supernova,clear on the scores
fri,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,O'Flynn,5.28,1.05,Sunil Sharpe x Kev Freeney Presents Spineless,clear on the scores
fri,Job Jobse,5.93,Anish Kumar,4.82,1.11,Job Jobse,clear on the scores
fri,O'Flynn,5.28,Sam Alfred,4.11,1.17,O'Flynn,clear on the scores
fri,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,Jamz Supernova,5.12,1.21,Sunil Sharpe x Kev Freeney Presents Spineless,clear on the scores
fri,New Jackson,5.38,Sam Alfred,4.11,1.27,New Jackson,clear on the scores
fri,Job Jobse,5.93,Lullahush,4.61,1.32,Job Jobse,clear on the scores
fri,Pulp,9.3,Floorplan,7.65,1.65,Pulp,clear on the scores
fri,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,Lullahush,4.61,1.72,Sunil Sharpe x Kev Freeney Presents Spineless,clear on the scores
fri,Floating Points (Live),8.12,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,1.79,Floating Points (Live),clear on the scores
fri,Floorplan,7.65,Gurriers,5.85,1.8,Floorplan,clear on the scores
fri,Job Jobse,5.93,Sam Alfred,4.11,1.82,Job Jobse,clear on the scores
fri,Kerri Chandler,8.46,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,2.13,Kerri Chandler,clear on the scores
fri,Floating Points (Live),8.12,Job Jobse,5.93,2.19,Floating Points (Live),clear on the scores
fri,Sunil Sharpe x Kev Freeney Presents Spineless,6.33,Sam Alfred,4.11,2.22,Sunil Sharpe x Kev Freeney Presents Spineless,clear on the scores
fri,Kerri Chandler,8.46,Job Jobse,5.93,2.53,Kerri Chandler,clear on the scores
fri,Floating Points (Live),8.12,New Jackson,5.38,2.74,Floating Points (Live),clear on the scores
fri,Floating Points (Live),8.12,O'Flynn,5.28,2.84,Floating Points (Live),clear on the scores
fri,Floating Points (Live),8.12,Jamz Supernova,5.12,3.0,Floating Points (Live),clear on the scores
fri,Kerri Chandler,8.46,New Jackson,5.38,3.08,Kerri Chandler,clear on the scores
fri,Kerri Chandler,8.46,O'Flynn,5.28,3.18,Kerri Chandler,clear on the scores
fri,Floating Points (Live),8.12,Anish Kumar,4.82,3.3,Floating Points (Live),clear on the scores
fri,Kerri Chandler,8.46,Jamz Supernova,5.12,3.34,Kerri Chandler,clear on the scores
fri,Pulp,9.3,Job Jobse,5.93,3.37,Pulp,clear on the scores
fri,Floating Points (Live),8.12,Lullahush,4.61,3.51,Floating Points (Live),clear on the scores
fri,Floorplan,7.65,Brògeal,4.11,3.54,Floorplan,clear on the scores
fri,Floating Points (Live),8.12,Sam Alfred,4.11,4.01,Floating Points (Live),clear on the scores
fri,Pulp,9.3,Anish Kumar,4.82,4.48,Pulp,clear on the scores
fri,Pulp,9.3,Lullahush,4.61,4.69,Pulp,clear on the scores
fri,Pulp,9.3,Brògeal,4.11,5.19,Pulp,clear on the scores
fri,Pulp,9.3,Sam Alfred,4.11,5.19,Pulp,clear on the scores
sat,Joy Orbison,7.19,DJ Nobu,7.19,0.0,Joy Orbison,effectively a coin flip
sat,Jyoty,5.83,Or:la,5.72,0.11,Or:la,too close to call — Irish tiebreak
sat,Greentea Peng,6.51,Sprints,6.35,0.16,Sprints,too close to call — Irish tiebreak
sat,The Avalanches (DJ Set),7.38,Joy Orbison,7.19,0.19,The Avalanches (DJ Set),effectively a coin flip
sat,The Avalanches (DJ Set),7.38,DJ Nobu,7.19,0.19,The Avalanches (DJ Set),effectively a coin flip
sat,Say She She,5.32,Cromby,5.07,0.25,Cromby,too close to call — Irish tiebreak
sat,Mall Grab,6.67,Call Super,6.39,0.28,Mall Grab,effectively a coin flip
sat,David Keenan,4.32,The Wild Geeze - Comedy Cabaret,3.96,0.36,David Keenan,clear on the scores
sat,Or:la,5.72,Say She She,5.32,0.4,Or:la,clear on the scores
sat,Bicurious,4.42,The Wild Geeze - Comedy Cabaret,3.96,0.46,Bicurious,clear on the scores
sat,David Kitt,5.83,Muireann Bradley,5.35,0.48,David Kitt,clear on the scores
sat,Joy Orbison,7.19,Mall Grab,6.67,0.52,Joy Orbison,clear on the scores
