day,hour,winner,stage,time,score,gap,note,runners_up
fri,15:00,PVA,Road To Nowhere,15:45 - 16:45,5.0,0.67,,Hank (4.33)
fri,16:00,PVA,Road To Nowhere,15:45 - 16:45,5.0,0.67,,Hank (4.33)
fri,17:00,Jacob Alon,Road To Nowhere,17:15 - 18:15,4.67,0.17,close call,Trinity Orchestra (4.50)
fri,18:00,Jacob Alon,Road To Nowhere,17:15 - 18:15,4.67,0.34,,Sexy Tadhg (4.33) / Rose Betts (4.33) / Cardinals (4.33)
fri,19:00,Dry Cleaning,Something Kind of Wonderful,19:45 - 20:45,6.83,2.5,,Sexy Tadhg (4.33) / Cardinals (4.33) / The New Eves (4.33)
fri,20:00,Dry Cleaning,Something Kind of Wonderful,19:45 - 20:45,6.83,0.16,close call,Friendly Fires (6.67) / Gurriers (6.00) / The New Eves (4.33)
fri,21:00,Floorplan,IMMERSE: AVA x Smirnoff,21:30 - 23:30,8.37,1.7,,Friendly Fires (6.67) / Gurriers (6.00) / Black Nylon (4.33)
fri,22:00,Pulp,ATN Main Stage,22:45 - 00:15,11.5,3.13,,Floorplan (8.37) / Brògeal (4.50) / Black Nylon (4.33)
fri,23:00,Pulp,ATN Main Stage,22:45 - 00:15,11.5,3.13,,Floorplan (8.37) / Anish Kumar (5.00) / Rory Sweeney (Live) (4.33)
fri,00:00,Pulp,ATN Main Stage,22:45 - 00:15,11.5,3.5,,Floating Points (Live) (8.00) / Job Jobse (5.83) / New Jackson (5.67)
fri,01:00,Kerri Chandler,The Temporary Bandstand,01:30 - 03:30,9.83,1.83,,Floating Points (Live) (8.00) / Sunil Sharpe x Kev Freeney Presents Spineless (6.17) / Job Jobse (5.83)
fri,02:00,Kerri Chandler,The Temporary Bandstand,01:30 - 03:30,9.83,3.66,,Sunil Sharpe x Kev Freeney Presents Spineless (6.17) / New Jackson (5.67) / Swimming Paul (4.33)
fri,03:00,Kerri Chandler,The Temporary Bandstand,01:30 - 03:30,9.83,5.5,,Swimming Paul (4.33) / Surusinghe (4.33) / Trad Folkin'Raves feat Annie Craic (4.33)
sat,12:00,Colleen Cosmo Murphy,Big Romance Dome x Altos,12:00 - 15:00,6.5,,,
sat,13:00,Colleen Cosmo Murphy,Big Romance Dome x Altos,12:00 - 15:00,6.5,0.83,,Muireann Bradley (5.67)
sat,14:00,David Kitt,Road To Nowhere,14:00 - 15:00,6.33,0.17,too close to call — Irish tiebreak,Colleen Cosmo Murphy (6.50) / Muireann Bradley (5.67) / The Itch (4.33)
sat,15:00,KhakiKid,Road To Nowhere,15:30 - 16:30,4.5,0.17,close call,Sassy 009 (4.33) / Sing Along Social (3.83)
sat,16:00,KhakiKid,Road To Nowhere,15:30 - 16:30,4.5,0.17,close call,Sassy 009 (4.33) / Maykay (4.33) / Sun Studio Collective (4.33)
sat,17:00,W.I.T.C.H.,Road To Nowhere,17:00 - 18:00,9.67,1.37,,Hot 8 Brass Band (8.30) / David Keenan (4.33) / Maykay (4.33)
sat,18:00,Hot 8 Brass Band,ATN Main Stage,17:30 - 18:30,8.3,1.63,,Greentea Peng (6.67) / Sprints (6.33) / David Keenan (4.33)
sat,19:00,Ezra Collective,ATN Main Stage,19:15 - 20:30,9.27,2.6,,Greentea Peng (6.67) / Sprints (6.33) / Maruja (6.33)
sat,20:00,Ezra Collective,ATN Main Stage,19:15 - 20:30,9.27,2.94,,Maruja (6.33) / Dan Shake (5.50) / Bicurious (4.83)
sat,21:00,Dan Shake,IMMERSE: AVA x Smirnoff,20:30 - 22:00,5.5,0.67,,Bicurious (4.83) / Nialler9 (4.33) / Trá Pháidín (4.33)
sat,22:00,Gilla Band,Road To Nowhere,22:00 - 23:15,8.17,1.17,,Maribou State (Live) (7.00) / THUMPER (6.17) / Moving Still (5.17)
sat,23:00,Gilla Band,Road To Nowhere,22:00 - 23:15,8.17,1.17,,Maribou State (Live) (7.00) / THUMPER (6.17) / Moving Still (5.17)
sat,00:00,Or:la,The Circle by Jameson Music,00:30 - 02:00,5.67,0.0,too close to call — Irish tiebreak,Say She She (5.67) / Cromby (5.00) / EMA (4.33)
sat,01:00,The Avalanches (DJ Set),Something Kind of Wonderful,01:00 - 03:00,8.37,1.37,,Joy Orbison (7.00) / DJ Nobu (6.83) / Mall Grab (6.50)
sat,02:00,The Avalanches (DJ Set),Something Kind of Wonderful,01:00 - 03:00,8.37,1.37,,Joy Orbison (7.00) / DJ Nobu (6.83) / Mall Grab (6.50)
sat,03:00,Mall Grab,The Temporary Bandstand,01:30 - 03:30,6.5,0.0,close call,Call Super (6.50) / Jyoty (5.50) / Yankari Afrobeat Collective (4.33)
sun,12:00,Organ Freeman (Live Jazz),Big Romance Dome x Altos,12:00 - 13:00,4.33,,,
sun,13:00,Shrem's Madonnathon,Big Romance Dome x Altos,13:00 - 15:00,4.33,,,
sun,14:00,Talks in the Tent: John Cooper Clarke,Something Kind of Wonderful,14:00 - 15:00,10.17,5.84,,Gently Tender (4.33) / Shrem's Madonnathon (4.33)
sun,15:00,Alabaster DePlume,Flourish with District Music,15:30 - 16:15,6.5,2.17,,Burt Bacharach by Paddy Hanna (4.33)
sun,16:00,Barrington Levy,Something Kind of Wonderful,16:00 - 17:15,9.33,2.83,,Alabaster DePlume (6.50) / Getdown Services (5.00) / Soda Blonde (4.83)
sun,17:00,Barrington Levy,Something Kind of Wonderful,16:00 - 17:15,9.33,3.0,,Kate Nash (6.33) / Getdown Services (5.00) / Soda Blonde (4.83)
sun,18:00,Damien Dempsey,ATN Main Stage,18:00 - 19:15,7.0,0.17,close call,Moonchild Sanelly (6.83) / Prosumer (6.50) / Kate Nash (6.33)
sun,19:00,Soichi Terada (Live),IMMERSE: AVA x Smirnoff,19:30 - 20:30,7.83,0.83,,Damien Dempsey (7.00) / Prosumer (6.50) / SOAK (6.00)
sun,20:00,Soichi Terada (Live),IMMERSE: AVA x Smirnoff,19:30 - 20:30,7.83,0.5,,Self Esteem (7.33) / Kean Kavanagh (4.83) / BIIRD (4.50)
sun,21:00,Anna von Hausswolff,Road To Nowhere,21:15 - 22:30,7.67,0.34,,Self Esteem (7.33) / Ms Dynamite (6.50) / Chet Faker (6.00)
sun,22:00,Underworld,ATN Main Stage,22:00 - 23:15,11.03,3.36,,Anna von Hausswolff (7.67) / Chet Faker (6.00) / Bazza Ranks (4.67)
sun,23:00,Underworld,ATN Main Stage,22:00 - 23:15,11.03,0.86,,Mogwai (10.17) / Weval (Live) (5.67) / Bazza Ranks (4.67)
sun,00:00,Mogwai,Something Kind of Wonderful,23:15 - 00:30,10.17,1.87,,Altern-8 (8.30) / Hot Chip (DJ Set) (7.67) / Disclosure (DJ) (6.67)
sun,01:00,Altern-8,Arcadia 'Afterburner',00:00 - 02:00,8.3,0.63,,Hot Chip (DJ Set) (7.67) / Disclosure (DJ) (6.67) / King Kong Company (5.83)
sun,02:00,King Kong Company,Something Kind of Wonderful,01:30 - 03:00,5.83,0.0,close call,Eats Everything (5.83) / The Dare (DJ Set) (5.00) / Daniel Wang (4.33)
sun,03:00,Eats Everything,Arcadia 'Afterburner',02:00 - 04:00,5.83,1.5,,Daniel Wang (4.33) / Winemoms (4.33)
